RNC,utranCell,latitude_Utrancell,longitude_utrancell,Target RNC,Target utranCell,latitude_target,longitude_target,Distance
RNC18,TESTJU1,43.643689,-79.787497,RNC18,JU1,43.643689,-79.787497,0.00
RNC18,TESTJU1,43.643689,-79.787497,RNC18,JU2,43.643689,-79.787497,0.00
RNC18,TESTJU1,43.643689,-79.787497,RNC18,JU3,43.643689,-79.787497,0.00
RNC18,TESTJU1,43.643689,-79.787497,RNC18,JAZ1,43.642694,-79.763056,1.97
RNC18,TESTJU1,43.643689,-79.787497,RNC18,JAZ2,43.642694,-79.763056,1.97
RNC18,TESTJU1,43.643689,-79.787497,RNC18,JAZ3,43.642694,-79.763056,1.97
RNC18,TESTJU1,43.643689,-79.787497,RRNC1,JU1,43.664028,-79.786694,2.26
RNC18,TESTJU1,43.643689,-79.787497,RRNC1,JU2,43.664028,-79.786694,2.26
RNC18,TESTJU1,43.643689,-79.787497,RRNC1,JU3,43.664028,-79.786694,2.26
RNC18,TESTJU1,43.643689,-79.787497,RNC18,JBZ1,43.654611,-79.7635,2.28
RNC18,TESTJU1,43.643689,-79.787497,RNC18,JBZ2,43.654611,-79.7635,2.28
RNC18,TESTJU1,43.643689,-79.787497,RNC18,JBZ3,43.654611,-79.7635,2.28
RNC18,TESTJU1,43.643689,-79.787497,RRNC1,JAZ1,43.675567,-79.769172,3.84
RNC18,TESTJU1,43.643689,-79.787497,RRNC1,JAZ2,43.675567,-79.769172,3.84
RNC18,TESTJU1,43.643689,-79.787497,RRNC1,JAZ3,43.675567,-79.769172,3.84
RNC18,TESTJU1,43.643689,-79.787497,RNC18,JKU1,43.654022,-79.741175,3.90
RNC18,TESTJU1,43.643689,-79.787497,RNC18,JKU2,43.654022,-79.741175,3.90
RNC18,TESTJU1,43.643689,-79.787497,RNC18,JKU3,43.654022,-79.741175,3.90
RNC18,TESTJU1,43.643689,-79.787497,RRNC1,JU1,43.639469,-79.734183,4.32
RNC18,TESTJU1,43.643689,-79.787497,RRNC1,JU2,43.639469,-79.734183,4.32
RNC18,TESTJU1,43.643689,-79.787497,RRNC1,JU3,43.639469,-79.734183,4.32
RNC18,TESTJU1,43.643689,-79.787497,RRNC1,JJU1,43.682914,-79.785292,4.37
RNC18,TESTJU1,43.643689,-79.787497,RRNC1,JJU2,43.682914,-79.785292,4.37
RNC18,TESTJU1,43.643689,-79.787497,RRNC1,JJU3,43.682914,-79.785292,4.37
RNC18,TESTJU1,43.643689,-79.787497,RNC18,JU1,43.665975,-79.741956,4.42
RNC18,TESTJU1,43.643689,-79.787497,RNC18,JU2,43.665975,-79.741956,4.42
RNC18,TESTJU1,43.643689,-79.787497,RNC18,JU3,43.665975,-79.741956,4.42
RNC18,TESTJU1,43.643689,-79.787497,RRNC1,JJU1,43.674833,-79.749542,4.62
RNC18,TESTJU1,43.643689,-79.787497,RRNC1,JJU2,43.674833,-79.749542,4.62
RNC18,TESTJU1,43.643689,-79.787497,RRNC1,JJU3,43.674833,-79.749542,4.62
RNC18,TESTJU1,43.643689,-79.787497,RRNC1,JQZ1,43.684397,-79.771972,4.70
